ObjID,RA,dec,cluster,selection,band,magnitude
2MASXJ10282351-2646143,157.096,-26.7706,Hydra,Sample,r,14.679
2MASXJ10283402-2655294,157.142,-26.925,Hydra,Sample,B,16.5
2MASXJ10295767-2606054,157.487,-26.1011,Hydra,Sample,B,16.2
2MASXJ10320651-2627531,158.029,-26.4653,Hydra,Sample,R,15.05
2MASXJ10322945-2611532,158.121,-26.1983,Hydra,Sample,B,16.4
2MASXJ10370719-2752211,159.279,-27.8725,Hydra,Sample,B,15.4
2MASXJ10380074-2630076,159.5,-26.5025,Hydra,Sample,B,15.7
2MASXJ10411260-2610222,160.304,-26.1728,Hydra,Sample,R,15.82
2MASXJ10425254-2613199,160.717,-26.2222,Hydra,Sample,R,15.59
2MASXJ10433425-2636536,160.892,-26.615,Hydra,Sample,B,15.9
2MASXJ10463276-2631418,161.637,-26.5281,Hydra,Sample,B,16.2
2MFGC8182,158.279,-26.4233,Hydra,Sample,R,15.24
6dFGSgJ102924.3-262712,157.351,-26.4533,Hydra,Sample,R,15.85
6dFGSgJ103114.1-283956,157.808,-28.6658,Hydra,Sample,R,14.92
6dFGSgJ103206.7-260151,158.025,-26.0303,Hydra,Sample,R,15.8
6dFGSgJ103416.6-283406,158.571,-28.5678,Hydra,Sample,R,14.87
6dFGSgJ103645.4-281005,159.192,-28.1672,Hydra,Sample,B,16.0
6dFGSgJ103650.7-260919,159.212,-26.1553,Hydra,Sample,R,14.73
6dFGSgJ103719.9-281420,159.337,-28.2372,Hydra,Sample,B,16.0
6dFGSgJ104025.5-275251,160.104,-27.8811,Hydra,Sample,R,14.03
6dFGSgJ104617.1-282524,161.571,-28.4231,Hydra,Sample,R,15.04
ESO500-46,157.392,-26.3269,Hydra,Sample,R,15.24
ESO501-10,158.283,-27.0961,Hydra,Sample,R,13.36
ESO501-66,159.729,-26.6394,Hydra,Sample,R,13.46
ESO436-34,158.183,-28.61,Hydra,Sample,R,12.77
ESO436-46,158.712,-28.5836,Hydra,Sample,R,12.24
ESO437-11,159.211,-27.9193,Hydra,Sample,R,12.63
ESO437-13,159.225,-27.9172,Hydra,Sample,R,13.02
ESO437-17,159.429,-28.6042,Hydra,Sample,R,13.78
ESO437-2,158.75,-28.0789,Hydra,Sample,R,13.58
ESO437-25,159.667,-28.5689,Hydra,Sample,R,13.24
ESO437-3,158.779,-27.9931,Hydra,Sample,R,14.83
ESO437-9,159.146,-28.2142,Hydra,Sample,R,13.46
ESO501-13,158.375,-26.8975,Hydra,Sample,R,12.49
ESO501-17,158.6,-26.4911,Hydra,Sample,R,13.72
ESO501-18,158.654,-27.6528,Hydra,Sample,R,12.75
ESO501-2,157.662,-27.5933,Hydra,Sample,R,13.85
