ObjID,RA,dec,JClass
6dFGSgJ040053.2-351416,60.2208,-35.2375,4
ESO418-8,52.875,-30.2142,4
NGC1341,51.9917,-37.1494,4
NGC1365,53.4,-36.1397,4
2dFGRSTGS471Z004,49.8542,-32.6503,3
2MASXJ03235400-3730449,50.9708,-37.5083,3
ESO358-49,55.0375,-35.6261,3
ESO35717,50.2292,-33.7167,3
ESO35867,57.025,-36.7022,3
IC1904,48.7542,-30.7081,3
LEDA74998,56.9058,-36.3622,3
NGC1437A,55.7591,-36.2734,3
2MASXJ03150668-3343490,48.7792,-33.7311,2
2MASXJ03542014-3658077,58.5792,-36.9708,2
6dFGSgJ040520.4-364859,61.3333,-36.8158,2
ESO417-20,48.2042,-31.4864,2
ESO35815,53.2792,-34.8094,2
ESO35820,53.7375,-32.6408,2
ESO35863,56.5792,-34.9458,2
ESO359-16,61.1042,-36.1797,2
ESO418-9,52.9833,-31.3389,2
ESO418-13,54.175,-30.7372,2
IC1885,46.6708,-32.8642,2
MCG-05-08-020,47.4208,-31.6944,2
NGC1436,55.9045,-35.8531,2
NGC1460,56.5573,-36.6963,2
NGC1288,49.3083,-32.5756,2
NGC1310,50.2625,-37.1008,2
NGC1492,59.5542,-35.4467,2
TSK2008846,47.5958,-33.1536,1
2MASXJ03325811-3531462,53.2375,-35.5286,1
6dFGSgJ032504.2-365540,51.2667,-36.9267,1
6dFGSgJ034545.4-362046,56.4392,-36.3465,1
ESO357-25,50.9053,-35.7784,1
ESO357-29,51.3337,-36.3856,1
ESO358-6,51.8252,-34.5264,1
ESO35710,48.925,-33.5411,1
ESO35727,51.2417,-37.0111,1
ESO3585,51.8167,-33.4861,1
FCCB729,52.8834,-38.0627,1
IC1913,49.8917,-32.465,1
MCG-06-09-023,55.6887,-33.9206,1
NGC1484,58.5708,-36.9708,1
