id,Galaxy,RA,dec,Cluster,JClass,distance(Mpc),velocity(km/s),velocity_err,redshift
1,LEDA83201,157.955495,-35.205816,Antlia,4,64.3,4037.005805,21.884853,0.01347
2,ESO375-70,158.967,-34.27,Antlia,3,61.52,3845.138605,18.886927,0.01283
3,LEDA83062,157.404,-35.0103,Antlia,3,31.73,1829.034042,21.884853,0.0061
5,2MASXJ10280313-3526317,157.012,-35.4422,Antlia,2,52.21,3218.872072,17.98755,0.01074
6,2MASXJ10344507-3528144,158.687,-35.4708,Antlia,2,44.01,2661.857608,44.968875,0.00888
7,6dFGSgJ103639.3-34452,159.162,-34.7564,Antlia,2,78.3,-99.0,-99.0,-99.0
12,MCG-06-23-034,157.296,-35.6875,Antlia,2,36.55,2157.906415,9.893153,0.0072
13,MCG-06-23-043,157.608,-35.1083,Antlia,2,31.02,1781.067243,44.968875,0.00594
9,IC2573,155.875,-35.4556,Antlia,2,66.2,4168.914505,9.893153,0.01391
17,ESO375-61,158.117,-36.5339,Antlia,1,131.6,-99.0,-99.0,-99.0
4,LEDA83102,157.525,-36.1067,Antlia,1,81.2,-99.0,-99.0,-99.0
10,LEDA83120,157.587,-35.5925,Antlia,1,39.61,2365.063033,21.884853,0.00789
11,LEDA83155,157.729,-34.8903,Antlia,1,65.35,4108.056628,21.884853,0.0137
