Galaxy,RA,dec,Cluster
2dFGRSTGS848Z606,58.9436,-36.262,Fornax
2MASXJ03262503-3707417,51.6042,-37.1282,Fornax
2MASXJ03324763-3414194,53.1985,-34.2387,Fornax
2MASXJ03352407-3621496,53.8504,-36.3638,Fornax
2MASXJ03381926-3507447,54.5803,-35.1291,Fornax
2MASXJ03405042-3544534,55.2101,-35.7484,Fornax
2MASXJ03414141-3510119,55.4225,-35.17,Fornax
2MASXJ03451407-3656123,56.3087,-36.9367,Fornax
2MASXJ03494903-3556440,57.4542,-35.9457,Fornax
6dFGSgJ032512.2-325409,51.301,-32.9027,Fornax
6dFGSgJ033147.6-350305,52.9486,-35.0515,Fornax
6dFGSgJ033312.8-360103,53.3035,-36.0173,Fornax
6dFGSgJ033333.9-333423,53.3896,-33.5719,Fornax
6dFGSgJ033612.9-360959,54.0539,-36.1664,Fornax
6dFGSgJ033821.5-351535,54.5895,-35.2597,Fornax
6dFGSgJ034033.9-350123,55.1411,-35.0226,Fornax
6dFGSgJ034121.4-334611,55.3397,-33.7692,Fornax
6dFGSgJ034145.5-334729,55.4394,-33.7919,Fornax
6dFGSgJ034432.9-351146,56.1372,-35.1958,Fornax
ESO301-8,50.5955,-37.3973,Fornax
ESO357-25,50.9053,-35.7784,Fornax
ESO358-19,53.6286,-34.2976,Fornax
ESO358-21_NGC1373,53.7467,-35.1712,Fornax
ESO358-22,53.8348,-32.6023,Fornax
ESO358-23_NGC1374,53.8192,-35.2263,Fornax
ESO358-24_NGC1375,53.82,-35.2657,Fornax
ESO358-27_NGC1379,54.0164,-35.4412,Fornax
ESO358-28_NGC1380,54.115,-34.9763,Fornax
ESO358-33,54.1979,-34.7397,Fornax
ESO358-35_NGC1386,54.1927,-35.9993,Fornax
ESO358-37_NGC1382,54.2873,-35.195,Fornax
ESO358-42,54.5381,-34.5185,Fornax
ESO358-43,54.5567,-33.1272,Fornax
ESO358-50,55.265,-33.7793,Fornax
ESO358-56,55.8443,-33.9404,Fornax
ESO358-59,56.2648,-35.9726,Fornax
ESO358-6,51.8252,-34.5264,Fornax
ESO358-61,56.4786,-36.3569,Fornax
ESO358-66,56.9694,-36.4717,Fornax
ESO359-2,57.653,-35.9093,Fornax
FCCB729,52.8834,-38.0627,Fornax
IC1919,51.5092,-32.8945,Fornax
IC1963,53.8793,-34.4471,Fornax
LEDA13449,54.8059,-35.371,Fornax
LEDA13452,54.8317,-35.7247,Fornax
LEDA13749,56.2498,-36.32,Fornax
LEDA13839,56.784,-36.3275,Fornax
LEDA74521,52.2165,-33.8459,Fornax
LEDA74617,52.6925,-35.5494,Fornax
LEDA74618,52.6942,-35.3547,Fornax
LEDA74792,54.3917,-35.8292,Fornax
LEDA74873,55.1126,-36.4989,Fornax
LEDA74896,55.2306,-37.838,Fornax
LEDA74983,56.3907,-37.0832,Fornax
LEDA74998,56.9058,-36.3622,Fornax
MCG-06-08-024,52.7844,-36.2901,Fornax
MCG-06-08-025,52.8534,-35.331,Fornax
MCG-06-08-027,53.6228,-35.5464,Fornax
MCG-06-09-008,54.2263,-35.3747,Fornax
NGC1326,50.985,-36.4647,Fornax
NGC1336,51.6342,-35.7136,Fornax
NGC1369_ESO358-34,54.1886,-36.2563,Fornax
NGC1381,54.1319,-35.2952,Fornax
NGC1396,54.5274,-35.4399,Fornax
NGC1399,54.6212,-35.4507,Fornax
NGC1404,54.7163,-35.5944,Fornax
NGC1419,55.1755,-37.5108,Fornax
NGC1427,55.581,-35.3926,Fornax
NGC1428,55.5954,-35.1533,Fornax
NGC1436,55.9045,-35.8531,Fornax
NGC1460,56.5573,-36.6963,Fornax
